STNAME	CTYNAME	CENSUS2010POP
Georgia	Glynn	79626
Georgia	Gordon	55186
Georgia	Grady	25011
Georgia	Greene	15994
Georgia	Gwinnett	805321
Georgia	Habersham	43041
Georgia	Hall	179684
Georgia	Hancock	9429
Georgia	Haralson	28780
Georgia	Harris	32024
Georgia	Hart	25213
Georgia	Heard	11834
Georgia	Henry	203922
Georgia	Houston	139900
Georgia	Irwin	9538
Georgia	Jackson	60485
Georgia	Jasper	13900
Georgia	Jeff Davis	15068
Georgia	Jefferson	16930
Georgia	Jenkins	8340
Georgia	Johnson	9980
Georgia	Jones	28669
Georgia	Lamar	18317
Georgia	Lanier	10078
Georgia	Laurens	48434
Georgia	Lee	28298
Georgia	Liberty	63453
Georgia	Lincoln	7996
Georgia	Long	14464
Georgia	Lowndes	109233
Georgia	Lumpkin	29966
Georgia	McDuffie	21875
Georgia	McIntosh	14333
Georgia	Macon	14740
Georgia	Madison	28120
Georgia	Marion	8742
Georgia	Meriwether	21992
Georgia	Miller	6125
Georgia	Mitchell	23498
Georgia	Monroe	26424
Georgia	Montgomery	9123
Georgia	Morgan	17868
Georgia	Murray	39628
Georgia	Muscogee	189885
Georgia	Newton	99958
Georgia	Oconee	32808
Georgia	Oglethorpe	14899
Georgia	Paulding	142324
Georgia	Peach	27695
Georgia	Pickens	29431
Georgia	Pierce	18758
Georgia	Pike	17869
Georgia	Polk	41475
Georgia	Pulaski	12010
Georgia	Putnam	21218
Georgia	Quitman	2513
Georgia	Rabun	16276
Georgia	Randolph	7719
Georgia	Richmond	200549
Georgia	Rockdale	85215
Georgia	Schley	5010
Georgia	Screven	14593
Georgia	Seminole	8729
Georgia	Spalding	64073
Georgia	Stephens	26175
Georgia	Stewart	6058
Georgia	Sumter	32819
Georgia	Talbot	6865
Georgia	Taliaferro	1717
Georgia	Tattnall	25520
Georgia	Taylor	8906
Georgia	Telfair	16500
Georgia	Terrell	9315
Georgia	Thomas	44720
Georgia	Tift	40118
Georgia	Toombs	27223
Georgia	Towns	10471
Georgia	Treutlen	6885
Georgia	Troup	67044
Georgia	Turner	8930
Georgia	Twiggs	9023
Georgia	Union	21356
Georgia	Upson	27153
Georgia	Walker	68756
Georgia	Walton	83768
Georgia	Ware	36312
Georgia	Warren	5834
Georgia	Washington	21187
Georgia	Wayne	30099
Georgia	Webster	2799
Georgia	Wheeler	7421
Georgia	White	27144
Georgia	Whitfield	102599
Georgia	Wilcox	9255
Georgia	Wilkes	10593
Georgia	Wilkinson	9563
Georgia	Worth	21679
Hawaii	Hawaii	1360301
Hawaii	Hawaii	185079
Hawaii	Honolulu	953207
Hawaii	Kalawao	90
Hawaii	Kauai	67091
Hawaii	Maui	154834
Idaho	Idaho	1567582
Idaho	Ada	392365
Idaho	Adams	3976
Idaho	Bannock	82839
Idaho	Bear Lake	5986
Idaho	Benewah	9285
Idaho	Bingham	45607
Idaho	Blaine	21376
Idaho	Boise	7028
Idaho	Bonner	40877
Idaho	Bonneville	104234
Idaho	Boundary	10972
Idaho	Butte	2891
Idaho	Camas	1117
Idaho	Canyon	188923
Idaho	Caribou	6963
Idaho	Cassia	22952
Idaho	Clark	982
Idaho	Clearwater	8761
Idaho	Custer	4368
Idaho	Elmore	27038
Idaho	Franklin	12786
Idaho	Fremont	13242
Idaho	Gem	16719
Idaho	Gooding	15464
Idaho	Idaho	16267
Idaho	Jefferson	26140
Idaho	Jerome	22374
Idaho	Kootenai	138494
Idaho	Latah	37244
Idaho	Lemhi	7936
Idaho	Lewis	3821
Idaho	Lincoln	5208
Idaho	Madison	37536
Idaho	Minidoka	20069
Idaho	Nez Perce	39265
Idaho	Oneida	4286
Idaho	Owyhee	11526
Idaho	Payette	22623
Idaho	Power	7817
Idaho	Shoshone	12765
Idaho	Teton	10170
Idaho	Twin Falls	77230
Idaho	Valley	9862
Idaho	Washington	10198
Illinois	Illinois	12830632
Illinois	Adams	67103
Illinois	Alexander	8238
Illinois	Bond	17768
Illinois	Boone	54165
Illinois	Brown	6937
Illinois	Bureau	34978
Illinois	Calhoun	5089
Illinois	Carroll	15387
Illinois	Cass	13642
Illinois	Champaign	201081
Illinois	Christian	34800
Illinois	Clark	16335
Illinois	Clay	13815
Illinois	Clinton	37762
Illinois	Coles	53873
Illinois	Cook	5194675
Illinois	Crawford	19817
Illinois	Cumberland	11048
Illinois	DeKalb	105160
Illinois	De Witt	16561
Illinois	Douglas	19980
Illinois	DuPage	916924
Illinois	Edgar	18576
Illinois	Edwards	6721
Illinois	Effingham	34242
Illinois	Fayette	22140
Illinois	Ford	14081
Illinois	Franklin	39561
Illinois	Fulton	37069
Illinois	Gallatin	5589
Illinois	Greene	13886
Illinois	Grundy	50063
Illinois	Hamilton	8457
Illinois	Hancock	19104
Illinois	Hardin	4320
Illinois	Henderson	7331
Illinois	Henry	50486
Illinois	Iroquois	29718
Illinois	Jackson	60218
Illinois	Jasper	9698
Illinois	Jefferson	38827
Illinois	Jersey	22985
Illinois	Jo Daviess	22678
Illinois	Johnson	12582
Illinois	Kane	515269
Illinois	Kankakee	113449
Illinois	Kendall	114736
Illinois	Knox	52919
Illinois	Lake	703462
Illinois	LaSalle	113924
Illinois	Lawrence	16833
Illinois	Lee	36031
Illinois	Livingston	38950
Illinois	Logan	30305
Illinois	McDonough	32612
Illinois	McHenry	308760
Illinois	McLean	169572
Illinois	Macon	110768
Illinois	Macoupin	47765
Illinois	Madison	269282
Illinois	Marion	39437
Illinois	Marshall	12640
Illinois	Mason	14666
Illinois	Massac	15429
Illinois	Menard	12705
Illinois	Mercer	16434
Illinois	Monroe	32957
Illinois	Montgomery	30104
Illinois	Morgan	35547
Illinois	Moultrie	14846
Illinois	Ogle	53497
Illinois	Peoria	186494
Illinois	Perry	22350
Illinois	Piatt	16729
Illinois	Pike	16430
Illinois	Pope	4470
Illinois	Pulaski	6161
Illinois	Putnam	6006
Illinois	Randolph	33476
Illinois	Richland	16233
Illinois	Rock Island	147546
Illinois	St. Clair	270056
Illinois	Saline	24913
Illinois	Sangamon	197465
Illinois	Schuyler	7544
Illinois	Scott	5355
Illinois	Shelby	22363
Illinois	Stark	5994
Illinois	Stephenson	47711
Illinois	Tazewell	135394
Illinois	Union	17808
Illinois	Vermilion	81625
Illinois	Wabash	11947
Illinois	Warren	17707
Illinois	Washington	14716
Illinois	Wayne	16760
